RSI (Momentum),MACD (Trend),Volume Change,Gunning Fog (Readability),Flesch Reading Ease,VADER Sentiment,Difficult Word Ratio,Word Count,FinBERT Voting Confidence
0.42149964,-0.1413861,0.24045211,-0.0019308552,-0.2883428,-0.7256542,0.49598348,-0.21277799,0.0
0.53463537,-0.28990814,-0.0096263625,0.046757396,0.11783277,-0.67616737,0.43099707,-0.08913695,0.0
-0.56227493,-0.22377105,-0.5380232,-0.050176304,0.39925888,-0.62784755,0.5651974,-0.31283155,0.0
-0.20848185,0.38739803,0.55271786,0.08239533,0.31040296,-0.65923774,0.09380018,0.4008504,0.0
-0.46500653,0.3788487,-0.07529102,0.026296731,0.064001694,0.16716525,0.25749624,-0.1790869,0.0
0.24774252,-0.41762543,0.35207868,0.28323737,-0.28695956,-0.6058307,0.34758443,0.100373164,0.0
-0.36114672,0.300185,0.10441324,-0.009676097,0.12723945,-0.04400606,0.3223383,-0.13992535,0.0
-0.239955,-0.46560717,0.5089343,-0.041293047,0.14946209,-0.48869422,0.17801942,0.18999085,0.0
-0.36928853,0.3705261,-0.7270083,0.09402534,0.2593543,-0.42779806,0.21519725,-0.16454673,0.0
-0.6072294,-0.34477025,0.33710623,0.15392728,-0.09923569,-0.5279977,0.32141867,-0.2279699,0.0
0.43202156,0.6763416,0.13210224,0.2392536,0.08150793,0.42116252,0.09132179,0.047542058,0.0
-0.00932598,0.49047488,0.30037168,-0.25556424,0.2643021,0.051439438,0.11907589,-0.19808638,0.0
0.43807524,-0.24151307,0.28734457,-0.118651226,0.31700006,0.077717796,0.36329225,-0.29854316,0.0
0.73375815,0.70450896,0.15087157,-0.10297653,0.32764933,0.10341393,0.17548358,-0.115094215,0.0
-0.35954636,0.26820284,0.469371,0.029097572,0.04870075,-0.00012574147,0.1854237,0.18651511,0.0
0.3655343,-0.16125529,-0.28119302,-0.058418605,-0.1407116,0.07738336,0.04455625,0.15461865,0.0
0.13651018,0.8522904,-0.017578807,-0.11467507,0.042480946,0.19453833,0.15444504,-0.33546406,0.0
-0.11501142,0.48488984,-0.0044203815,-0.024957579,0.28862146,0.013106216,0.22227684,-0.35301802,0.0
0.7267405,0.18007979,0.34418926,-0.26052305,-0.43557993,0.10180267,-0.16595946,-0.2719839,0.0
-0.84444284,0.01131813,0.15741041,-0.18283898,0.036918856,0.061079193,0.62992233,-0.19400859,0.0
0.3196371,0.7817166,-0.26810214,-0.16883896,0.1007636,0.19434133,0.34353107,-0.39219067,0.0
-0.026494434,1.2471676,-0.29482782,0.068960935,0.038379293,-0.33467087,-0.2976437,0.05371635,0.0
-0.27656138,0.5900332,0.4609126,0.26212227,0.34349048,0.15967928,0.039716527,0.17823912,0.0
-0.24807367,-0.090832844,0.30732077,0.0055886786,-0.23402588,-0.022499615,0.07907009,0.17490084,0.0
0.5368489,0.6613789,-0.22788431,0.24762976,-0.07619726,0.3036708,-0.067356326,-0.14728008,0.0
-0.7962229,0.74510175,-0.044165004,0.12927985,-0.69812214,0.38610166,-0.063215934,-0.1257566,0.0
-0.08603545,0.43362588,0.16826592,0.016648818,-0.38706368,0.11959994,-0.41384825,-0.07883656,0.0
-0.79279006,0.7235268,-0.18180287,0.029263997,-0.29169622,0.053616792,0.074638635,0.034387104,0.0
-0.46298707,0.70117366,0.29190215,0.084950745,-0.3483744,-0.076156996,-0.2430425,0.10152558,0.0
-0.52062273,1.1112581,0.1765763,0.084360346,-0.42441937,-0.0047969413,0.0348496,0.017607883,0.0
-0.5477015,0.6549297,0.01526237,0.1661911,-0.68881524,0.07541418,-0.14844538,-0.22414039,0.0
-0.6993373,0.6353159,0.29026094,0.013262209,-0.57293254,0.07651625,0.032495737,-0.04213348,0.0
-0.24382472,-0.44844186,0.25673515,-0.1675047,0.36661083,-0.14190339,0.12065205,-0.14839046,0.0
-0.9291132,0.22238496,-0.2666348,0.1512984,0.27200222,-0.06365031,0.016887322,-0.16646855,0.0
-0.3456751,0.3566504,-0.77138764,-0.07752715,0.33318198,0.25751334,0.24148843,0.207006,0.0
0.57755464,0.25028813,0.14307082,-0.09754306,0.261827,-0.2945525,0.06352282,0.4182589,0.0
0.3320773,0.8439632,0.31277862,0.31381255,0.4045307,0.10547163,0.023590973,0.5429183,0.0
-0.73235905,1.1557451,-0.30567354,0.2617354,0.21645537,0.19890095,-0.1247774,-0.12150254,0.0
-0.39293933,0.51213247,0.3440362,0.042113684,0.31043753,0.12980466,0.29013106,0.37299067,0.0
-0.4346293,0.4161978,-0.3646872,0.24392177,0.057466716,0.16563608,-0.011608949,-0.13507093,0.0
