ticker,filing_date,sector,confidence,fwd_return_T20
AMD,2023-05-03,Technology,0.4245134936895307,0.43009336738584564
NVDA,2024-02-21,Technology,0.419793008510956,0.328945155912258
LLY,2025-10-30,Healthcare,0.4484268209624609,0.2860291251414137
INTC,2023-10-27,Technology,0.1175641052070908,0.27596515471223126
AVGO,2024-09-11,Technology,0.4763629024960569,0.2572384021642805
AMD,2023-11-01,Technology,0.4435090274887178,0.2290525604752175
AMD,2023-02-27,Technology,0.4358864345990092,0.21308389440933215
AMD,2024-01-31,Technology,0.451134034333804,0.16163866536880117
NVDA,2023-02-24,Technology,0.447402960765679,0.1532204779492994
AMD,2025-05-07,Technology,0.3264333119259551,0.14828786542338696
META,2023-10-26,Technology,0.3831331189298531,0.1465425405056065
INTC,2025-01-31,Technology,0.348069674311262,0.13134325072363004
AMD,2024-05-01,Technology,0.3600894237185276,0.1258524023552375
AMZN,2023-04-28,Consumer,0.4496751575811276,0.11491689285853143
ABBV,2025-02-14,Healthcare,0.3710261633885662,0.1058005059879537
