sector,n_filings,accuracy,fp_rate,fn_rate
Financials,53.0,0.7358490566037735,0.22641509433962265,0.03773584905660377
Materials,10.0,0.7,0.3,0.0
Energy,8.0,0.625,0.0,0.375
Industrials,25.0,0.56,0.4,0.04
Other,117.0,0.5555555555555556,0.29914529914529914,0.1452991452991453
Consumer,65.0,0.5538461538461539,0.3076923076923077,0.13846153846153847
Technology,94.0,0.5106382978723404,0.19148936170212766,0.2978723404255319
Healthcare,48.0,0.4791666666666667,0.3541666666666667,0.16666666666666666
Utilities,10.0,0.4,0.4,0.2
