ticker,filing_date,sector,confidence,fwd_return_T20
TSLA,2025-01-30,Consumer,0.584912082117596,-0.2867714789985676
UNH,2025-05-07,Healthcare,0.6855289249075699,-0.2517010224150852
AMZN,2025-02-07,Consumer,0.5217080901988276,-0.1632688460811492
UNH,2025-10-28,Healthcare,0.6851448352247815,-0.14290216911626852
NFLX,2023-01-26,Other,0.6358886166965564,-0.13997881884547606
ACN,2024-03-21,Other,0.8145641880029674,-0.1260557704233979
DHR,2024-10-22,Other,0.7140778710427069,-0.12570535678084105
BMY,2024-04-25,Other,0.596016905138702,-0.12344374353502864
NKE,2025-10-01,Consumer,0.7794109352457094,-0.12104906758547192
MSFT,2025-01-29,Technology,0.5160175562368443,-0.11948537064998879
AMZN,2023-02-03,Consumer,0.5874940547197947,-0.1093482985240102
UPS,2023-08-08,Industrials,0.8859646916515923,-0.10531559669735233
BAC,2023-07-31,Financials,0.8532677990588536,-0.09843259755543972
GOOGL,2025-02-05,Technology,0.5077712171544999,-0.09797460560604067
TSLA,2023-07-24,Consumer,0.7047293341758208,-0.09603285807340502
