Model,F1_macro,F1_weighted
FinBERT alone,0.5852941176470587,0.6170212765957447
Technicals alone (LR),0.5220338983050847,0.5557879552830869
"Hybrid (FinBERT + Tech, RF)",0.5422077922077922,0.5933959657363913
