Date,Open,High,Low,Close,Volume
2015-12-16,104.15905759370821,105.03381449091928,102.73265491108842,104.73434448242188,4711700
2015-12-17,104.8604466239734,105.23871633155537,103.23702660291626,103.51285552978516,4345800
2015-12-18,103.0242424694555,103.48132386797282,102.45683190750138,102.677490234375,9840600
2015-12-21,103.23699336659257,103.71771572510006,102.5907713002496,103.48129272460938,3414800
2015-12-22,103.52861151240523,104.24575712488202,102.81147792490601,103.93053436279297,3401900
2015-12-23,104.41124248726662,105.08109377054157,103.93052002516299,104.89984130859375,3244800
2015-12-24,104.6555448130642,105.19142585461088,104.54521565598245,104.73434448242188,1517100
2015-12-28,104.22208745777611,104.73432731204012,103.93838223965201,104.56095123291016,2607200
2015-12-29,105.10473534425964,105.86128670726347,105.03381203600253,105.36479949951172,3037400
2015-12-30,105.27022644690466,105.64849608486657,105.03380341381285,105.08897399902344,2484700
2015-12-31,104.87617482253066,105.26233278058595,104.21420005869845,104.22207641601562,3178700
2016-01-04,102.53564673381231,103.29219818115234,102.01551836532713,103.29219818115234,8050900
2016-01-05,103.35519878190385,103.97777975025868,102.48833048067677,102.78778839111328,5320900
2016-01-06,101.660891031466,102.37014825192709,101.3141387814708,101.72393798828125,8199600
2016-01-07,100.02958940916872,100.7782524868033,98.27219305181569,98.82384490966797,12551000
2016-01-08,99.64342685337198,99.71435016354694,97.32650252117928,97.64173126220703,7104500
2016-01-11,98.40617426891093,99.35973699937301,97.79147542294125,99.1233139038086,6811600
2016-01-12,99.91136570979714,101.5032681198337,99.1627027232621,100.47089385986328,5695700
2016-01-13,100.45514000394101,100.45514000394101,95.33269233960722,95.67156219482422,8932200
2016-01-14,95.58487237616829,95.76612484626429,93.1497364818211,94.268798828125,13389100
2016-01-15,92.29862296734497,95.47453937074548,91.49478939868754,93.9614486694336,10515000
2016-01-19,94.99381256659201,96.05770422945763,93.62257455695382,94.37911987304688,6350700
2016-01-20,92.9054344629515,93.51225083280207,89.5167360679742,91.77849578857422,11331400
2016-01-21,92.50351952133771,96.09711756865912,92.31438468068548,94.74163818359375,8993900
2016-01-22,95.8607002088968,98.24854800627371,95.81341799904412,96.74333953857422,6554500
