Date,Open,High,Low,Close,Volume
2015-12-16,69.08230411688744,69.96326429969763,68.7979033571703,69.7204818725586,3483100
2015-12-17,71.03154012095241,71.07315846984798,69.35286634684482,69.36673736572266,4792100
2015-12-18,68.61757332976546,68.73549550970331,67.21636760446043,67.97940063476562,7053500
2015-12-21,68.33318536859007,68.53434957413323,66.82792290535501,67.20944213867188,3311100
2015-12-22,67.6672524426332,68.18750295769519,67.01520343689837,67.97940063476562,2458600
2015-12-23,67.6186781453043,67.7643476161164,67.20247360897203,67.45219421386719,4812200
2015-12-24,67.27879341865224,67.77823474719936,67.07069639326546,67.52157592773438,1497600
2015-12-28,67.38976432620512,67.47300099672033,66.800148310261,67.28571319580078,2274600
2015-12-29,67.50077296405118,67.88229215075022,67.39672708791714,67.7851791381836,1688900
2015-12-30,67.63255827933533,67.7782277697887,67.30653381830392,67.34815216064453,1727300
2015-12-31,67.21636564534599,67.32734966668157,66.59900214218064,66.7516098022461,2178600
2016-01-04,66.13423291616067,66.17585654979844,65.24633968505114,65.78739929199219,3730800
2016-01-05,65.78738906065806,66.66141113946676,65.56541578740222,66.43943786621094,2839600
2016-01-06,65.82207236566634,66.27295705055825,65.27407470769127,65.49604797363281,2443000
2016-01-07,64.53186631493118,65.18391525269851,64.00467769945415,64.23358917236328,3790800
2016-01-08,64.40007984949524,64.51106917545938,63.26940387561293,63.394264221191406,3941100
2016-01-11,63.6647911111607,63.77578043193537,62.92256722833193,63.5815544128418,3484000
2016-01-12,63.58153588779431,64.58041302242407,63.58153588779431,64.51104736328125,4436200
2016-01-13,64.73301331577079,65.04516139268762,62.499404415446996,62.85317611694336,4274500
2016-01-14,62.99192973977367,63.74109174054046,62.15259288960899,63.227779388427734,4001900
2016-01-15,62.131762175039064,62.506343045555546,61.33404394850915,62.457786560058594,5459500
2016-01-19,63.012731781561904,63.435869236386296,62.13871483851655,62.67283630371094,3772000
2016-01-20,61.777995135332056,62.013844720024856,60.55714475286952,61.52827453613281,4836900
2016-01-21,61.60458765754789,62.56185186324699,60.987224219624274,61.784942626953125,3467600
2016-01-22,62.61734075305073,62.908685022142635,61.95142082361138,62.360687255859375,2866000
2016-01-25,62.40923665392895,62.61040076998364,61.84736793505036,62.02771759033203,2069800
