Date,Open,High,Low,Close,Volume
2015-12-16,136.27187772636825,137.3657576908715,134.63106419932276,136.9534454345703,2196300
2015-12-17,136.68416621867615,137.64341187074453,135.13591233102483,135.20321655273438,1703900
2015-12-18,134.45427763119613,135.2031619797492,132.61152678926388,132.69566345214844,4295800
2015-12-21,133.62971303837728,134.15140418420322,132.3843795744302,134.1177520751953,1453500
2015-12-22,134.54690867161537,135.8006650234682,133.81485640116463,135.66603088378906,1742100
2015-12-23,136.6757129896964,136.6757129896964,135.28733582784557,136.06988525390625,1581000
2015-12-24,136.1876956654491,136.59158512851775,135.8427005968585,136.10354614257812,491000
2015-12-28,135.51454209823873,136.53268202292412,134.96759586186872,135.6071014404297,1124700
2015-12-29,136.2297875131854,137.34890964825217,135.9100475027502,136.86929321289062,1169600
2015-12-30,137.12173798087957,137.53403737805087,136.7430778593868,136.911376953125,889900
2015-12-31,136.3812274743598,137.99679820530187,135.8931884765625,135.8931884765625,1873400
2016-01-04,134.47115097325874,134.7151769004441,132.83874771205987,134.24395751953125,2640800
2016-01-05,134.7740947530813,135.66602341033996,134.1682539973174,134.5721435546875,2127700
2016-01-06,133.25104010755888,134.46272122864536,132.6367897312407,133.32676696777344,2033400
2016-01-07,130.2975964164754,132.1571802934378,129.20371675033647,130.27235412597656,3826000
2016-01-08,130.65941059209712,130.67624306549754,127.7395991687641,127.99203491210938,3156200
2016-01-11,128.15196927705693,131.23165849217244,128.0005026267717,130.18826293945312,2164500
2016-01-12,131.02120674856866,131.6270344122034,130.37329149181335,131.31570434570312,2215600
2016-01-13,131.24006924935023,131.2821440324753,127.79856512411268,128.00050354003906,2157500
2016-01-14,127.86582994076257,129.71700408675886,127.33571613681127,128.8923797607422,2281500
2016-01-15,125.61919842354168,127.49562822578115,124.74410210868369,126.54479217529297,2975400
2016-01-19,127.72278287126491,127.8994917658111,125.86319876658546,126.6120834350586,2242600
2016-01-20,124.9208039581431,126.21662229772211,121.93367466254658,125.22372436523438,3796800
2016-01-21,125.34992248974855,127.26000409861433,124.62628008547016,126.53636169433594,2211800
2016-01-22,128.0509294096273,129.33835041774947,127.6049651597832,129.32151794433594,2544100
2016-01-25,129.64128274410913,129.98626502482523,126.67939628046875,126.8729248046875,1820600
2016-01-26,126.87292859869497,127.66388803361114,124.78615101935775,124.95443725585938,2828600
2016-01-27,125.61919227057273,125.87162808499663,123.45668746837681,124.3065414428711,2189500
2016-01-28,124.99653153755081,126.19138069447742,124.37385824193322,125.87162780761719,2076100
2016-01-29,125.79588423130517,127.57974149105533,123.61654724481156,127.15901947021484,3221300
2016-02-01,126.92342220343772,128.05937684951118,126.37648868609436,127.26841735839844,2142000
2016-02-02,126.20819347071765,126.88133841672416,124.6262746008853,124.95443725585938,1931400
2016-02-03,125.61080051486819,126.1998089402813,122.38806739652554,123.43987274169922,2546900
2016-02-04,122.0093417485286,122.12714335801964,119.30830170599555,120.56205749511719,5340500
2016-02-05,120.55374304892017,122.17772458157901,119.82167768849821,121.15958404541016,4079300
2016-02-08,120.10771216408095,124.15505544588555,119.16528622403837,123.70909118652344,3782000
2016-02-09,123.05279340565032,125.9810153642677,123.0443707471764,124.48324584960938,3228300
2016-02-10,126.0272621932629,126.7022451058632,124.51699935219727,124.9135513305664,2189600
2016-02-11,124.13731249318124,125.20040177914548,122.13767469741676,123.73231506347656,2198100
2016-02-12,124.85449003230576,125.94290308585178,124.02764268585082,125.41978454589844,1951800
2016-02-16,126.01038292981987,127.09878293865432,124.6182284136051,125.8078842163086,2186400
2016-02-17,126.34783674491443,128.22934015810281,125.63911073378834,127.3265609741211,2174600
2016-02-18,125.82478203635822,126.42381990370814,123.87577828260004,125.41978454589844,2894300
2016-02-19,125.71508766928713,125.8332087132019,123.90108316469005,125.46196746826172,2471700
2016-02-22,126.24663267215476,126.71067133156318,125.28478625435812,126.60942840576172,2161300
2016-02-23,126.46599686903552,128.043759212076,125.81632472074867,126.862548828125,1850600
2016-02-24,126.58410313125789,130.27962398916952,126.27192889641688,129.82400512695312,2590100
2016-02-25,130.5158879976678,130.67619788822617,128.97186892566646,130.54119873046875,1746900
2016-02-26,129.16587059262744,129.43586880033203,125.5125394177973,126.28876495361328,3800800
2016-02-29,126.55033258833808,128.49933551261367,126.29721248308414,126.58407592773438,3115800
2016-03-01,126.89626466851334,127.57124740196576,126.0356742357307,126.99752044677734,2681400
