Date,Open,High,Low,Close,Volume
2015-12-16,44.21534002102233,44.21534002102233,43.18319579720195,44.071144104003906,5920900
2015-12-17,44.1622154878966,44.19257343759452,42.879622511640456,42.90238952636719,6944300
2015-12-18,42.53051643371246,42.87203614339677,41.58944022203719,41.6956901550293,12025700
2015-12-21,42.00684961321899,42.37113921366003,41.68809983169981,42.363548278808594,4305600
2015-12-22,42.64434502290053,42.81889885941857,41.900592760526465,42.204166412353516,4412800
2015-12-23,42.545683277955426,43.03898681120339,41.87023209135417,43.03139877319336,5786200
2015-12-24,43.236309349442536,43.236309349442536,42.902377784346534,43.06934356689453,1681200
2015-12-28,42.81130920909627,43.00863004878981,42.3255937005342,42.81889724731445,2930100
2015-12-29,43.06934968376882,43.5930112191882,42.81890097437714,43.274261474609375,2753100
2015-12-30,43.274267290770226,43.395696194800536,42.56846088137734,42.621585845947266,3010200
2015-12-31,42.53810394451894,42.72783679252758,41.59703063964844,41.59703063964844,6450100
2016-01-04,40.64076200240972,41.240318298339844,40.5041541654866,41.240318298339844,7915400
2016-01-05,41.18719338435777,41.3389801916311,40.64076203621078,40.8077278137207,6131900
2016-01-06,40.18541090392342,40.89880524800552,40.01085706106587,40.54210662841797,8520800
2016-01-07,39.76041314809694,40.185415748306006,38.98630282008756,39.236751556396484,10526700
2016-01-08,39.10014794801517,39.449255713912365,38.128716635920824,38.21978759765625,9620000
2016-01-11,38.576472590504636,39.0849550825162,38.31084494512127,38.864864349365234,7000500
2016-01-12,39.259521541385865,39.34300445980609,38.57648500858086,39.10773468017578,5075800
2016-01-13,39.10013933347963,39.320230096352425,37.794776624129874,37.80995559692383,6882200
2016-01-14,37.931383850180254,38.455045374900315,37.589864205757166,37.969329833984375,10440500
2016-01-15,36.34522330615399,36.95236783082073,35.46486302161385,36.451473236083984,15871600
2016-01-19,36.89923573414122,37.13450545858112,36.284503288332196,36.595664978027344,9048800
2016-01-20,36.360390234918846,37.400125069888645,35.97333663339181,37.195213317871094,13430800
2016-01-21,37.68853842725907,38.599256812392944,37.195231790909155,37.81755828857422,10093900
2016-01-22,38.584063669419514,38.88004638452704,38.05281123187358,38.17424011230469,6335600
2016-01-25,38.21218733248533,38.713081842376646,37.94656255265394,38.00727844238281,7651300
2016-01-26,38.234963541335404,38.75103710872855,37.96933582262495,38.477821350097656,7710200
2016-01-27,38.257722948005856,39.13808305346814,37.92379425113839,38.45504379272461,9791200
2016-01-28,38.75326233065904,39.76262093645779,38.53150855228713,39.09736251831055,10033300
2016-01-29,39.24265745965368,40.48141551785706,38.99031920565354,40.47377014160156,10469100
2016-02-01,39.992025811450986,40.733752664632455,39.992025811450986,40.397300720214844,6336700
2016-02-02,39.8543882004157,40.14496207600287,38.72268295288086,38.72268295288086,9460500
2016-02-03,38.34800355596496,38.77621467689988,37.545101870272994,38.424468994140625,11309400
2016-02-04,38.585037625133964,39.472049883747324,38.24093741339416,39.19676971435547,9795800
2016-02-05,39.150899404210385,39.311478562582515,37.85861200986607,38.14154052734375,7929800
2016-02-08,37.66743906673643,39.173831747829844,37.54509264553389,38.92149353027344,15765600
2016-02-09,38.63856053355152,39.479694633102845,38.30210864391205,38.75326156616211,7321700
2016-02-10,39.250296962889045,39.53322249248921,38.684442986720164,38.80678939819336,7329600
2016-02-11,38.11858610425418,38.829725478275,38.0344753228162,38.523860931396484,6121400
2016-02-12,39.04384304406321,39.30382957433273,38.225650740532146,39.10501480102539,8060600
2016-02-16,39.105026226726494,40.351432861043754,39.105026226726494,40.175559997558594,6567400
2016-02-17,40.49670302768046,41.07785071165675,40.320830230862796,41.054908752441406,6244700
2016-02-18,41.01666665695815,41.15430671287826,40.52728108789469,40.57316207885742,6004200
2016-02-19,40.39730982602092,40.48142064335775,40.07614856021194,40.343780517578125,6300700
2016-02-22,40.74904941762217,40.97080324451197,40.56552830506564,40.75669479370117,4350900
2016-02-23,40.550227890710815,40.810214388687086,39.85438210450501,39.946144104003906,3888500
2016-02-24,39.632631069676975,40.206130437845005,39.235004491044236,40.1143684387207,5341500
2016-02-25,40.38200903676755,40.61140823364258,39.655575815855734,40.61140823364258,3917500
2016-02-26,40.901983191924415,40.90962856800342,40.61140931244706,40.75669479370117,3533100
2016-02-29,40.83315730352517,41.161963850343284,40.50435075670705,40.54258346557617,4450400
2016-03-01,40.88669786580028,41.46019744873047,40.52730386040038,41.46019744873047,4958800
2016-03-02,41.55194165325176,41.77369544580871,41.276661485521565,41.61311340332031,4163600
2016-03-03,41.74311644144905,42.003102994296015,41.34548977727314,41.95722198486328,4045900
2016-03-04,42.05662118589341,42.26308131266041,41.59782284883478,41.97250747680664,4248100
2016-03-07,41.704883113700035,42.46954909121429,41.66665039821817,42.43131637573242,3747600
2016-03-08,42.0489836763961,42.17133011696172,41.613121382601285,41.697235107421875,4480600
2016-03-09,41.82721910681113,42.1636710027775,41.704872697644404,41.86545181274414,3641700
2016-03-10,42.40072903655924,42.546014522178034,41.76605487507719,42.43131637573242,4838400
2016-03-11,42.76777246722068,42.98187802807762,42.63013234467851,42.86717987060547,5031600
2016-03-14,42.66835676037512,42.82129052421252,42.255436473104815,42.5230712890625,3477200
2016-03-15,42.377786332793136,42.622482124931295,42.11015441212991,42.61483383178711,3407500
2016-03-16,42.591911692385146,43.035416610806806,42.324276748519885,42.92836380004883,3449900
2016-03-17,42.767761791182856,43.44066856486038,42.76011349907891,43.280086517333984,4530500
2016-03-18,43.42538212870447,43.777127782869755,43.21892196205026,43.654781341552734,7924900
2016-03-21,43.50949060415049,43.63183703070509,43.11186398860581,43.60124969482422,3085500
2016-03-22,43.38714834319306,43.73889398868751,43.218920896665644,43.50949478149414,3514900
2016-03-23,43.563014985804585,43.578308653043706,43.24185380772057,43.280086517333984,3220900
2016-03-24,43.19598060471269,43.379498798384695,42.96657848716903,43.35655975341797,2279600
2016-03-28,43.62418599755158,43.70065433244962,43.08127394613465,43.21891403198242,2240400
2016-03-29,43.17304181170851,43.975940531137354,42.88247083090486,43.89947509765625,4013800
2016-03-30,44.14417056238999,44.94706932869378,44.029472405472006,44.6335563659668,5026700
2016-03-31,44.442374943829854,44.51119498167949,43.86887560073908,43.907108306884766,5410400
